taxon	min	max
Catalan_Eastern_Algueres_from_LAlgher_Alghero	100	300
Catalan_Eastern_Balear_Mallorqui_from_Palma	100	300
Catalan_Eastern_Central_Barceloni_from_Barcelona	100	300
Catalan_Eastern_Rossellones_from_Canet_de_Rossello_Canet-en-Roussillon	100	300
Catalan_Western_from_Lleida	100	300
Catalan_Western_from_Valencia	100	300
Dalmatian_Vegliote_from_Veglia_Krk	100	300
Francoprovencal_Lyonnais_from_Vaux	100	300
Francoprovencal_Valaisan_Val_dIlliez_from_Val_dIlliez	100	300
French_Acadian_from_Baie_Sainte-Marie	100	300
French_Acadian_from_Pubnico	100	300
French_Acadian_South-East_New_Brunswick_from_Moncton__environs	100	300
French_Franc-Comtois_from_Pierrecourt	100	300
French_Lorrain_from_Ranrupt	100	300
French_Modern_Standard	100	300
French_Norman_from_Jersey	100	300
French_Norman_Guernsey	100	300
French_Picard_from_Mesnil-Martinsart	100	300
French_Poitevin-Saintongeais_Vendeen_from_Beauvoir-sur-Mer	100	300
French_Wallon_from_Namur	100	300
Friulian	100	300
Friulian_Western_Maniago_from_Greci	100	300
Galego-Portuguese_Galician_from_Cualedro	100	300
Galego-Portuguese_Galician_from_Dodro	100	300
Galego-Portuguese_Galician_from_Fisterra_Finisterra	100	300
Galego-Portuguese_Galician_from_Lubian	100	300
Galego-Portuguese_Galician_from_Vilanova_de_Oscos	100	300
Galego-Portuguese_Galician_from_Xermade	100	300
Galego-Portuguese_Portuguese	100	300
Italian_Central_Laziale_North-central_from_Ascrea	100	300
Italian_Central_Marchigiano_from_Macerata	100	300
Italian_Central_Marchigiano_from_Servigliano	100	300
Italian_Central_Modern_Standard	100	300
Italian_Central_Tuscan_Corsican_from_Sisco	100	300
Italian_Northern_I_Emilian_from_Travo	100	300
Italian_Northern_I_Emilian_Romagnol_from_Lugo	100	300
Italian_Northern_I_Ligurian_Genoese_from_Genova	100	300
Italian_Northern_I_Lombard_Alpine_from_Val_Calanca	100	300
Italian_Northern_I_Lombard_Cremonese_from_Cremona	100	300
Italian_Northern_I_Piedmontese_Basso_from_Cascinagrossa	100	300
Italian_Northern_I_Piedmontese_from_Cairo_Montenotte	100	300
Italian_Northern_II_Veneto_Istrioto_Valle_dIstria_from_Valle_dIstria	100	300
Italian_Northern_II_Veneto_Northern_from_Alpago	100	300
Italian_Southern_I_Lucano_Archaic_from_Nova_Siri	100	300
Italian_Southern_I_Lucano_Calabria_from_Papasidero	100	300
Italian_Southern_I_Lucano_Central_from_Calvello	100	300
Italian_Southern_I_Molisano_from_Casacalenda	100	300
Italian_Southern_I_Pugliese_Dauno_from_Lucera	100	300
Italian_Southern_II_Sicilian_Central_from_Mussomeli	100	300
Ladin-_Dolomitic_Atesino_Val_Badia	100	300
Ladin-_Dolomitic_Atesino_Val_Gardena	100	300
Occitan_Northern_Auvergnat_Gartempe_from_Gartempe_Creuse_	100	300
Occitan_Northern_Limousin_from_Saint-Augustin	100	300
Occitan_Northern_Vivaro-Alpin_from_Seyne	100	300
Occitan_Southern_Languedocien_from_Graulhet	100	300
Occitan_Southern_Provencal_from_Nice	100	300
Romanian_Aromanian	100	300
Romanian_Istro-Romanian_from_Susnjevica_Valdarsa	100	300
Romanian_Megleno-Romanian	100	300
Romanian_Modern_Standard	100	300
Sardinian_Campidanese	100	300
Sardinian_Gallurese	100	300
Sardinian_Logudorese	100	300
Sardinian_Nuorese	100	300
Sardinian_Sassarese	100	300
Spanish_Aragonese_Ansotano_from_Anso_Fago	100	300
Spanish_Aragonese_from_Panticosa	100	300
Spanish_Asturo-Leonese_Asturian_from_Somiedo	100	300
Spanish_Asturo-Leonese_Asturian_Sudeste_de_from_Parres	100	300
Spanish_Modern_Standard	100	300
Swiss_Raeto-Romance_Puter_Upper_Engadine	100	300
Swiss_Raeto-Romance_Surmiran_from_Bivio-Stalla	100	300
Swiss_Raeto-Romance_Surselvan	100	300
